For Period: from 02/02/2017 to 02/02/2017
Active and Inactive Subscriptions counted
Region	State	Library	AccountId	SalesRep	Subscription Start Date	Subscription End Date	Subscription Status	System Name
North America	Alabama	8080 Test Library		avolkov_sales	09/03/2014	09/18/2019	Active	
Asia	Oman	ABA - an IB World School		ballan1	10/16/2016	10/31/2017	Inactive	
North America	Massachusetts	Abbot Public Library		jlevy	08/01/2016	07/31/2017	Inactive	SVOD - Acorn, IF, Great Courses
Australia	New South Wales	ABC Reference Library			01/18/2016	02/29/2020	Active	
Europe, UK	Scotland	Aberdeen City Library			04/01/2015	03/31/2018	Inactive	
Europe, UK	Scotland	Aberdeenshire Library & Info. Services			01/01/2015	03/31/2019	Inactive	
North America	Illinois	Addison Public Library	7039945	mhaddadnull	02/01/2017	01/31/2018	Inactive	
North America	Massachusetts	Agawam Public Library	7055493	jlevy	07/01/2016	06/30/2017	Inactive	SVOD - A, Q, TGCNC; Unl.; No IF, P
North America	Military	Air Force Library & Information System	7026668	Doss	11/01/2016	10/31/2017	Inactive	DOD-MWR Air Force/7208672
North America	Ohio	Akron Summit County Public Library		dmcdonald1	10/01/2016	09/30/2017	Inactive	Acorn, Qello, Indieflix
North America	Florida	Alachua County Library District		Doss	10/01/2016	09/30/2017	Inactive	
North America	North Carolina	Alamance County Public Libraries		swilliams1	07/01/2016	06/30/2017	Inactive	
North America	California	Alameda County Library	1724394	hyena	10/01/2016	09/30/2017	Inactive	ACORN TV , IF, Pongalo, TGC
North America	New Mexico	Albuquerque Bernalillo County Library	7033942	cstrickland	11/01/2016	10/31/2017	Inactive	
North America	British Columbia	Alert Bay Public Library	7149971	Messersmith	01/01/2017	12/31/2017	Inactive	BC Libraries Cooperative-7040759
North America	Virginia	Alexandria Library	7040823	Doss	10/01/2016	09/30/2017	Inactive	Library of Virginia/Lyrasis-7051842
North America	Illinois	Algonquin Area Public Library	7034044	mhaddadnull	10/01/2016	09/30/2017	Inactive	
North America	California	Alhambra Civic Center Library		mransdell	06/01/2016	05/31/2017	Inactive	
North America	Pennsylvania	Aliquippa District Library Center	7061772	lkurucz	09/01/2016	08/31/2017	Inactive	
North America	Kentucky	Allen County Public Library		mpoynter	09/01/2016	08/31/2017	Inactive	
North America	Pennsylvania	Allentown Library District	1723897	lkurucz	07/01/2016	06/30/2017	Inactive	
North America	Texas	Amarillo Public Library		cstrickland	11/01/2016	10/31/2017	Inactive	
Asia	India	American Embassy School, New Delhi - Elementary School Collection		ballan1	05/16/2016	05/31/2017	Inactive	
Asia	India	American Embassy School, New Delhi - Middle/High School Collection		ballan1	05/16/2016	05/31/2017	Inactive	
Other	Nigera	American International School Abuja		WFHINT	06/21/2016	04/30/2017	Inactive	
Asia	Tokyo	American School in Japan		ballan1	09/01/2016	08/31/2017	Inactive	
Other	Paraguay	American School of Asuncion		mears	07/16/2016	07/31/2017	Inactive	
North America	Virginia	Amherst County Public Library	7052448	swilliams1	10/01/2016	09/30/2017	Inactive	Library of Virginia/Lyrasis-7051842
North America	Ohio	Amherst Public Library	1721786	dmcdonald1	01/01/2017	12/31/2017	Inactive	
North America	Texas	Andrews County Library	7098395	cstrickland	03/01/2016	02/28/2017	Inactive	Value Collection
Europe, UK	Scotland	Angus Alive			04/16/2015	04/30/2018	Inactive	
North America	Maryland	Anne Arundel County Public Library	1718843	Doss	01/01/2017	12/31/2017	Inactive	
North America	Minnesota	Anoka County Library	1729630	mears	02/01/2017	01/31/2018	Inactive	MELSA
North America	Illinois	Antioch Public Library District		mhaddadnull	08/01/2016	07/31/2017	Inactive	
North America	Colorado	Anythink Libraries	7051275	hyena	01/01/2017	12/31/2017	Inactive	ACORN TV only
North America	Virginia	Appomattox Regional Library	7052379	swilliams1	10/01/2016	09/30/2017	Inactive	Library of Virginia/Lyrasis-7051842
North America	Colorado	Arapahoe Library District	7034241	hyena	01/01/2017	12/31/2017	Inactive	
North America	California	Arcadia Public Library		mransdell	05/01/2016	04/30/2017	Inactive	
North America	Arizona	Arizona State Library		mransdell	10/01/2016	09/30/2017	Inactive	Arizona State Library
North America	Illinois	Arlington Heights Library		mhaddadnull	10/01/2016	09/30/2017	Inactive	
North America	Virginia	Arlington Public Library		Doss	10/01/2016	09/30/2017	Inactive	Library of Virginia/Lyrasis-7051842
North America	Texas	Arlington Public Library	1718527	cstrickland	02/01/2017	01/31/2018	Inactive	
Australia	New South Wales	Armidale			04/01/2015	03/31/2020	Active	
North America	Military	Army MWR Library	7027777	Doss	02/01/2017	01/31/2018	Inactive	DOD-MWR Air Force/7208672
North America	Louisiana	Ascension Parish Library	1721114	cstrickland	01/01/2017	12/31/2017	Inactive	
New Zealand	New Zealand	Ashburton Public Library			09/21/2015	09/30/2017	Inactive	
Australia	New South Wales	Ashfield, Kogarah, Marrickville			07/01/2015	08/31/2017	Inactive	
North America	Ohio	Athens County Public Libraries		dmcdonald1	02/21/2013	02/28/2017	Inactive	Acorn Only
North America	Georgia	Athens Regional Library System	7108546	bgilbert	05/01/2016	04/30/2017	Inactive	GADD
North America	New Jersey	Atlantic County Library System	7067308	lkurucz	01/01/2017	12/31/2017	Inactive	
North America	Alabama	Auburn Public Library		bgilbert	10/01/2016	09/30/2017	Inactive	
New Zealand	Auckland	Auckland Libraries	100005055		04/01/2015	03/31/2018	Inactive	
North America	Virginia	Augusta County Library	7052443	swilliams1	10/01/2016	09/30/2017	Inactive	Library of Virginia/Lyrasis-7051842
North America	Illinois	Aurora Public Library		mhaddadnull	10/01/2016	09/30/2017	Inactive	
North America	Colorado	Aurora Public Library	1722685	hyena	02/01/2017	01/31/2018	Inactive	
North America	Texas	Austin Public Library	1717443	cstrickland	03/01/2013	02/28/2017	Inactive	
North America	Indiana	Avon-Washington Township Public Library	1717500	dmcdonald1	04/01/2016	03/31/2017	Inactive	
Europe, Europe without UK	Karlsruhe	Badische Landesbibliothek		ballan1	01/01/2017	12/31/2017	Inactive	
North America	Georgia	Bainbridge High School	7064297	bgilbert	09/01/2016	08/31/2017	Inactive	
North America	New York	Baldwin Public Library		swilliams1	12/15/2016	12/31/2017	Inactive	Nassau
North America	Maryland	Baltimore County Public Library	1742563	Doss	12/01/2016	11/30/2017	Inactive	
North America	California	Banning Library District		mransdell	10/01/2016	09/30/2017	Inactive	Inland Library System
Europe, UK	England	Barnet Libraries			06/16/2015	06/30/2017	Inactive	
Europe, UK	England	Barnsley Libraries	BAR131		04/01/2016	03/31/2018	Inactive	
North America	Ontario	Barrie Public Library	7052755	rseifert	07/01/2016	06/30/2017	Inactive	
North America	Illinois	Barrington Area Library	7039840	mhaddadnull	10/01/2016	09/30/2017	Inactive	
North America	Indiana	Bartholomew County Public Library		dmcdonald1	02/01/2017	01/31/2018	Inactive	
Australia	New South Wales	Bathurst Library	W_BAT001		06/15/2016	07/31/2018	Inactive	
Australia	New South Wales	Bayside Library - NSW	10000479		11/01/2014	06/30/2020	Active	
Australia	Victoria	Bayside Library Service	10000266		08/09/2013	08/31/2019	Active	
North America	British Columbia	BC Libraries Cooperative	7040607	Messersmith	01/01/2017	12/31/2017	Inactive	BC Libraries Cooperative 7040759
North America	California	Beaumont Library District		mransdell	10/01/2016	09/30/2017	Inactive	Inland Library System
North America	Louisiana	Beauregard Parish Library		cstrickland	01/01/2017	12/31/2017	Inactive	Value Collection
North America	Wisconsin	Beaver Dam Community Library		mhaddadnull	02/01/2017	01/31/2018	Inactive	Monarch Library System
Europe, UK	England	Bedford and Central Bedfordshire Libraries			04/01/2015	03/31/2018	Inactive	
North America	Massachusetts	Bedford Free Public Library		ngilbert	11/01/2016	10/31/2017	Inactive	
North America	Illinois	Bedford Park Public Library		mhaddadnull	03/01/2016	02/28/2017	Inactive	
North America	Virginia	Bedford Public Library	7052418	swilliams1	10/01/2016	09/30/2017	Inactive	Library of Virginia/Lyrasis-7051842
North America	Washington	Bellingham Public Library & Whatcom County Library System		Messersmith	01/01/2017	12/31/2017	Inactive	
North America	New York	Bellmore Memorial Library		swilliams1	01/01/2017	12/31/2017	Inactive	Nassau
North America	Ohio	Belmont County District Library	7051845	dmcdonald1	02/01/2017	01/31/2018	Inactive	
North America	Massachusetts	Belmont Public Library		jlevy	04/01/2016	03/31/2017	Inactive	
North America	Arkansas	Bentonville Public Library	7051613	swilks	05/01/2016	04/30/2017	Inactive	
North America	New Jersey	Bergen County Cooperative Library System	7081850	lkurucz	01/01/2017	12/31/2017	Inactive	
North America	South Carolina	Berkeley County Library	7103306	swilliams1	08/01/2016	07/31/2017	Inactive	
North America	New Jersey	Berkeley Heights Public Library	1722025	lkurucz	10/01/2016	09/30/2017	Inactive	
North America	California	Berkeley Public Library	7026466	mransdell	09/01/2016	08/31/2017	Inactive	
North America	Pennsylvania	Berks County Public Libraries	7075821	lkurucz	10/01/2016	09/30/2017	Inactive	
North America	Pennsylvania	Bethlehem Area Public Library	1723907	lkurucz	12/01/2016	11/30/2017	Inactive	
North America	Iowa	Bettendorf Public Library Information Center	7035578	PaulGillespie	02/01/2017	01/31/2018	Inactive	
North America	California	Beverly Hills Public Library		mransdell	04/01/2016	03/31/2017	Inactive	
North America	Massachusetts	Beverly Public Library		jlevy	07/01/2016	06/30/2017	Inactive	Value - Non-Overdrive overlapping
Europe, UK	England	Bexley Library Service			06/17/2015	06/30/2017	Inactive	
North America	Texas	Bibliotech	7075354	cstrickland	10/01/2016	09/30/2017	Inactive	
North America	Manitoba	Bibliotheque Allard Regional Library		Messersmith	01/01/2017	06/30/2017	Inactive	Manitoba Rural Library Consortia
North America	Quebec	Bibliotheque Bernard-Patenaude		rseifert	10/15/2016	10/31/2017	Inactive	
North America	Quebec	Bibliotheque de Blainville		rseifert	03/15/2016	03/31/2017	Inactive	
North America	Quebec	Bibliotheque de Brossard		rseifert	10/01/2016	09/30/2017	Inactive	
North America	Quebec	Bibliotheque de Candiac		rseifert	09/15/2016	09/30/2017	Inactive	
North America	Quebec	Bibliotheque de Montmagny		rseifert	03/16/2016	03/31/2018	Inactive	
North America	Quebec	Bibliotheque de Vaudreuil-Dorion		rseifert	12/15/2016	12/31/2017	Inactive	
North America	Quebec	Bibliotheque et Archives Nationales du Quebec	1741895	rseifert	11/01/2016	10/31/2017	Inactive	
North America	Quebec	Bibliotheque H.J. Hemens Rosemere		rseifert	10/15/2016	10/31/2017	Inactive	
North America	Manitoba	Bibliotheque Montcalm Library		Messersmith	01/01/2017	06/30/2017	Inactive	Manitoba Rural Library Consortia
North America	Quebec	Bibliotheque Municipale de Sainte-Julie		rseifert	01/29/2017	01/31/2018	Inactive	
North America	Quebec	Bibliotheque Municipale Francoise-Bedard		rseifert	03/15/2016	03/31/2017	Inactive	
North America	Quebec	Bibliotheque P-Rodolphe - Baril		rseifert	04/16/2016	04/30/2017	Inactive	
North America	Manitoba	Bibliotheque Pere Champagne		Messersmith	01/01/2017	06/30/2017	Inactive	Manitoba Rural Library Consortia
North America	Quebec	Bibliotheque Publique de Dollard-des-Ormeaux		rseifert	02/01/2017	01/31/2018	Inactive	
North America	Manitoba	Bibliotheque Saint Claude Library		Messersmith	01/01/2017	06/30/2017	Inactive	Manitoba Rural Library Consortia
North America	Manitoba	Bibliotheque Somerset Library		Messersmith	01/01/2017	06/30/2017	Inactive	Manitoba Rural Library Consortia
North America	Quebec	Bibliotheques de Laval	7097768	rseifert	05/01/2016	04/30/2017	Inactive	
North America	Quebec	Bibliotheques de Trois-Rivieres		rseifert	01/16/2017	01/31/2018	Inactive	
North America	Quebec	Bibliotheques Victoriaville		rseifert	06/01/2016	05/31/2017	Inactive	
North America	Quebec	Bibliotheques Ville de Levis		rseifert	03/15/2016	03/31/2017	Inactive	
Australia	New South Wales	Big Sky Libraries			06/17/2015	07/31/2018	Inactive	
North America	Montana	Billings Public Library		cpitcher	07/15/2016	07/31/2017	Inactive	
North America	Ohio	Birchard Public Library		dmcdonald1	02/01/2017	01/31/2018	Inactive	
North America	California	Black Gold Library Cooperative		hyena	11/01/2016	10/31/2017	Inactive	
Australia	New South Wales	Blacktown City Libraries			09/17/2014	09/30/2019	Active	
North America	Virginia	Blackwater Regional Library	7052414	swilliams1	10/01/2016	09/30/2017	Inactive	Library of Virginia/Lyrasis-7051842
North America	Illinois	Bloomingdale Public Library	7052769	mhaddadnull	07/01/2016	06/30/2017	Inactive	
North America	Illinois	Bloomington Public Library		mhaddadnull	10/01/2016	09/30/2017	Inactive	
Australia	New South Wales	Blue Mountains Library	BLU001		10/13/2016	12/31/2019	Active	
North America	Virginia	Blue Ridge Regional Library	7052424	swilliams1	10/01/2016	09/30/2017	Inactive	Library of Virginia/Lyrasis-7051842
North America	Florida	Boca Raton Public Library		bgilbert	02/15/2013	02/28/2017	Inactive	
North America	Idaho	Boise Public Library		cpitcher	10/01/2016	09/30/2017	Inactive	
North America	Manitoba	Boissevain-Morton Library & Archives		Messersmith	01/01/2017	06/30/2017	Inactive	Manitoba Rural Library Consortia
North America	Kentucky	Boone County Public Library		dmcdonald1	09/01/2016	08/31/2017	Inactive	
North America	Missouri	Boonslick Regional Library		swilks	07/01/2016	06/30/2017	Inactive	
North America	Manitoba	Border Regional Library		Messersmith	01/01/2017	06/30/2017	Inactive	Manitoba Rural Library Consortia
Australia	Victoria	Boroondara Library Service	BOR003		09/04/2016	11/30/2019	Active	
North America	Massachusetts	Boston Public Library System	7052898	jlevy	07/01/2016	06/30/2017	Inactive	
North America	Virginia	Botetourt County Library	7052420	swilliams1	10/01/2016	09/30/2017	Inactive	Library of Virginia/Lyrasis-7051842
North America	Nevada	Boulder City Public Library	7040090	mransdell	12/01/2016	11/30/2017	Inactive	
Europe, UK	England	Bournemouth			04/01/2016	03/31/2019	Inactive	
North America	British Columbia	Bowen Island Public Library	7040640	Messersmith	01/01/2017	12/31/2017	Inactive	BC Libraries Cooperative 7040759
North America	Kentucky	Boyd County Public Library	1729743	dmcdonald1	04/01/2016	03/31/2017	Inactive	
Europe, UK	England	Bracknell Forest Borough Libraries	10000020		07/24/2013	07/31/2018	Inactive	
North America	Illinois	Bradley Public Library District		mhaddadnull	10/01/2016	09/30/2017	Inactive	
North America	Ontario	Brampton Public Library		rseifert	01/01/2017	12/31/2017	Inactive	
North America	Ontario	Brantford Public Library	7104496	rseifert	01/01/2017	12/31/2017	Inactive	
North America	Manitoba	Bren Del Win Centennial Library		Messersmith	01/01/2017	06/30/2017	Inactive	Manitoba Rural Library Consortia
North America	Massachusetts	Brewster Ladies' Library		jlevy	02/01/2017	01/31/2018	Inactive	
North America	Connecticut	Bridgeport Public Library	7052544	jlevy	10/01/2016	09/30/2017	Inactive	
North America	West Virginia	Bridgeport Public Library	7052016	dmcdonald1	07/01/2016	06/30/2017	Inactive	WV Deli-7120407
Europe, UK	England	Brighton and Hove Libraries			11/24/2016	11/30/2018	Inactive	
Australia	Victoria	Brimbank Libraries			07/01/2015	06/30/2020	Active	
Australia	Queensland	Brisbane City Council Library Service	10000432		10/01/2014	09/30/2019	Active	
Australia	Queensland	Brisbane Grammar School			10/18/2014	10/31/2018	Inactive	
Europe, UK	England	Bristol Libraries			03/01/2015	02/12/2018	Inactive	
North America	Connecticut	Bristol Public Library		jlevy	07/01/2016	06/30/2017	Inactive	
North America	Virginia	Bristol Public Library	7052539	swilliams1	10/01/2016	09/30/2017	Inactive	Library of Virginia/Lyrasis-7051842
Asia	India	British Council Libraries			02/01/2015	03/31/2018	Inactive	
Asia	Pakistan	British Council Pakistan			03/01/2016	03/31/2018	Inactive	
