Region: Asia
Country: IN
Library Name	Library Nickname	Title	RBID	Zenith Issue Id	Issue Date
American Embassy School, New Delhi - Elementary School Collection	aeses	American Girl Magazine	RBZ0003805	30529	05/01/2016
American Embassy School, New Delhi - Elementary School Collection	aeses	American Girl Magazine	RBZ0003805	39961	06/01/2016
American Embassy School, New Delhi - Elementary School Collection	aeses	American Girl Magazine	RBZ0003805	35716	08/01/2016
American Embassy School, New Delhi - Elementary School Collection	aeses	American Girl Magazine	RBZ0003805	43803	10/01/2016
American Embassy School, New Delhi - Elementary School Collection	aeses	American Girl Magazine	RBZ0003805	47851	11/01/2016
American Embassy School, New Delhi - Elementary School Collection	aeses	American Girl Magazine	RBZ0003805	46781	12/01/2016
American Embassy School, New Delhi - Elementary School Collection	aeses	American Girl Magazine	RBZ0003805	349606	01/01/2017
American Embassy School, New Delhi - Elementary School Collection	aeses	American Girl Magazine	RBZ0003805	352689	03/01/2017
American Embassy School, New Delhi - Elementary School Collection	aeses	American Girl Magazine	RBZ0003805	352690	05/01/2017
American Embassy School, New Delhi - Elementary School Collection	aeses	American Girl Magazine	RBZ0003805	352691	06/01/2017
American Embassy School, New Delhi - Elementary School Collection	aeses	American Girl Magazine	RBZ0003805	352692	06/01/2017
American Embassy School, New Delhi - Elementary School Collection	aeses	American Girl Magazine	RBZ0003805	352693	09/01/2017
American Embassy School, New Delhi - Elementary School Collection	aeses	American Girl Magazine	RBZ0003805	352695	10/01/2017
American Embassy School, New Delhi - Elementary School Collection	aeses	American Girl Magazine	RBZ0003805	352694	11/01/2017
American Embassy School, New Delhi - Elementary School Collection	aeses	American Girl Magazine	RBZ0003805	352696	01/01/2018
American Embassy School, New Delhi - Elementary School Collection	aeses	American Girl Magazine	RBZ0003805	393134	03/01/2018
American Embassy School, New Delhi - Elementary School Collection	aeses	American Girl Magazine	RBZ0003805	393135	05/01/2018
