For Period: from 05/21/2017 to 07/01/2018
Service	Date	Library Name	Library Nickname	Account #	Billing Account #	Barcode	Email	Branch	License Type	Notes	Tokens Issued	Views
qello	08/30/2017	8080 Test Library	test51				international@email.com		30-day		1	0
qello	08/30/2017	8080 Test Library	test51				qa@qa.qa		30-day		1	0
qello	10/20/2017	8080 Test Library	test51				gustavo@indieflix.com		30-day		1	0
qello	10/20/2017	8080 Test Library	test51			qwerty	avolkov@envionsoftware.com		30-day		1	0
qello	10/31/2017	8080 Test Library	test51				v-1031-1542@gmail.com		30-day		1	0
qello	10/31/2017	8080 Test Library	test51			98765678999	v-1031-1458@gmail.com		30-day		1	0
qello	11/01/2017	8080 Test Library	test51				v-1101-958@gmail.com		30-day		1	0
qello	11/16/2017	8080 Test Library	test51				v-1611-1600@gmail.com		30-day		1	0
qello	11/21/2017	8080 Test Library	test51				test_21.patron@test.com		30-day		1	0
qello	11/21/2017	8080 Test Library	test51				test_22.patron@test.com		30-day		1	0
qello	11/21/2017	8080 Test Library	test51				test_23.patron@test.com		30-day		1	0
qello	12/20/2017	8080 Test Library	test51				test.09.12.patron@gmail.com		30-day		1	0
qello	12/20/2017	8080 Test Library	test51				test.19.12.patron@gmail.com		30-day		1	0
qello	12/20/2017	8080 Test Library	test51				test.20.12.patron@gmail.com		30-day		1	0
qello	12/20/2017	8080 Test Library	test51				test.20.121.patron@gmail.com		30-day		1	0
qello	12/20/2017	8080 Test Library	test51				v.2012.134041@gmail.com		30-day		1	0
qello	12/20/2017	8080 Test Library	test51				v.2012.134115@gmail.com		30-day		1	0
qello	12/20/2017	8080 Test Library	test51				v.2012.174629@gmail.com		30-day		1	0
qello	12/20/2017	8080 Test Library	test51				v.2012.174708@gmail.com		30-day		1	0
qello	12/21/2017	8080 Test Library	test51				test.21.12.patron@gmail.com		30-day		1	0
qello	12/21/2017	8080 Test Library	test51				test.21.121.patron@gmail.com		30-day		1	0
qello	12/21/2017	8080 Test Library	test51				test.21.122.patron@gmail.com		30-day		1	0
qello	12/21/2017	8080 Test Library	test51				test.21.124.patron@gmail.com		30-day		1	0
qello	12/21/2017	8080 Test Library	test51				test.21.125.patron@gmail.com		30-day		1	0
qello	12/21/2017	8080 Test Library	test51				v.2112.110049@gmail.com		30-day		1	0
qello	12/21/2017	8080 Test Library	test51				v.2112.110126@gmail.com		30-day		1	0
qello	12/21/2017	8080 Test Library	test51				v.2112.180551@gmail.com		30-day		1	0
qello	12/21/2017	8080 Test Library	test51				v.2112.180627@gmail.com		30-day		1	0
qello	12/22/2017	8080 Test Library	test51				v.2212.162026@gmail.com		30-day		1	0
qello	12/22/2017	8080 Test Library	test51				v.2212.162104@gmail.com		30-day		1	0
qello	12/22/2017	8080 Test Library	test51				v.2212.183200@gmail.com		30-day		1	0
qello	12/22/2017	8080 Test Library	test51				v.2212.183236@gmail.com		30-day		1	0
qello	12/22/2017	8080 Test Library	test51				vahafonov.2212.envion@gmail.com		30-day		1	0
