For Period: from 05/21/2017 to 07/01/2018
Service	License Type	Library Name	Title	Barcode	Email	Library	Views	Notes
qello	7-day	8080 Test Library	Lang Lang - Live in Vienna (Part 1)		simon.cox@wfhowes.co.uk		2	
qello	7-day	8080 Test Library	Earth Wind And Fire - Live in Japan 1990		jan8@email.com		1	
qello	7-day	8080 Test Library	The Cleveland Orchestra Franz Welser-Möst - Live at Carnegie Hall, NY		worker1130WAS@email.com		1	
qello	7-day	8080 Test Library	Take That - The Ultimate Tour		becky.stabik@wfhowes.co.uk		1	
qello	7-day	8080 Test Library	Amy Winehouse - I Told You I Was Trouble		simon.cox@wfhowes.co.uk		1	
qello	7-day	8080 Test Library	Bob Marley and the Wailers - Live In Concert		simon.cox@wfhowes.co.uk		1	
qello	7-day	8080 Test Library	Cat Stevens - Live at the Island 50 Festival		simon.cox@wfhowes.co.uk		1	
qello	7-day	8080 Test Library	Claudio Abbado - Mahler - Symphony No. 1/Prokofiev - Piano Concerto No. 3		simon.cox@wfhowes.co.uk		1	
qello	7-day	8080 Test Library	Diana Krall - Live In Paris		simon.cox@wfhowes.co.uk		1	
qello	7-day	8080 Test Library	Earth Wind And Fire - In Concert		simon.cox@wfhowes.co.uk		1	
qello	7-day	8080 Test Library	James Brown - Live at Montreux		simon.cox@wfhowes.co.uk		1	
qello	7-day	8080 Test Library	John Lee Hooker - Cook With The Hook: Live 1974		simon.cox@wfhowes.co.uk		1	
qello	7-day	8080 Test Library	Prodigy - Worlds on Fire		simon.cox@wfhowes.co.uk		1	
Total	14	
